"stid","seq","unemployed","treatment","expunge","white","female","age_enroll","total_income","income","income_lag","unemploy_lag","ps_employed","local_unemploy","married","dependent","year"
"KSSTID0014",5,0,1,1,1,0,26,5802.87,8.66628021540726,6.8387909785156,0,1,2.95,0,0,2021
"KSSTID0014",6,0,1,1,1,0,26,8548.08,9.05357895380208,8.66628021540726,0,1,2.766666667,0,0,2021
"KSSTID0014",7,0,1,1,1,0,26,10188.09,9.22907281899053,9.05357895380208,0,1,2.933333333,0,0,2021
"KSSTID0015",-2,1,0,0,1,0,44,0,0,0,1,1,2.3,1,1,2019
"KSSTID0015",1,1,0,0,1,0,44,0,0,0,1,1,2.566666667,1,1,2020
"KSSTID0015",-3,1,0,0,1,0,44,0,0,0,1,1,2.633333333,1,1,2019
"KSSTID0015",2,1,0,0,1,0,44,0,0,0,1,1,5.2,1,1,2020
"KSSTID0015",-1,1,0,0,1,0,44,0,0,0,1,1,2.633333333,1,1,2019
"KSSTID0015",0,1,0,0,1,0,44,0,0,0,1,1,2.133333333,1,1,2019
"KSSTID0015",6,1,0,0,1,0,44,0,0,0,1,1,2.533333333,1,1,2021
"KSSTID0015",7,1,0,0,1,0,44,0,0,0,1,1,2.733333333,1,1,2021
"KSSTID0015",-7,1,0,0,1,0,44,0,0,0,1,1,2.833333333,1,1,2018
"KSSTID0015",5,1,0,0,1,0,44,0,0,0,1,1,2.733333333,1,1,2021
"KSSTID0015",-4,1,0,0,1,0,44,0,0,0,1,1,2.366666667,1,1,2018
"KSSTID0015",-5,1,0,0,1,0,44,0,0,0,1,1,2.833333333,1,1,2018
"KSSTID0015",3,1,0,0,1,0,44,0,0,0,1,1,3.8,1,1,2020
"KSSTID0015",-6,1,0,0,1,0,44,0,0,0,1,1,2.8,1,1,2018
"KSSTID0015",-8,1,0,0,1,0,44,0,0,,,1,2.566666667,0,1,2017
"KSSTID0015",4,1,0,0,1,0,44,0,0,0,1,1,2.866666667,1,1,2020
"KSSTID0016",-8,0,1,0,1,0,28,2082.8,7.64194842897808,,,1,3.5,0,0,2017
"KSSTID0016",-8,0,1,0,1,0,28,2082.8,7.64194842897808,7.64194842897808,0,1,3.5,0,0,2017
"KSSTID0016",-7,1,1,0,1,0,28,0,0,7.64194842897808,0,1,4,0,0,2018
"KSSTID0016",-7,1,1,0,1,0,28,0,0,0,1,1,4,0,0,2018
"KSSTID0016",-6,0,1,0,1,0,28,80,4.39444915467244,0,1,1,3.566666667,0,0,2018
"KSSTID0016",-6,0,1,0,1,0,28,80,4.39444915467244,4.39444915467244,0,1,3.566666667,0,0,2018
